-0.287391 0.957813
-0.792296 0.610137
0.831398 -0.555677
-0.404951 -0.914338
-0.641971 0.766729
-0.896721 0.442596
-0.987036 0.160501
0.430675 0.902507
-0.517076 -0.855939
-0.996635 0.081968
-0.989790 -0.142532
0.917948 -0.396701
0.348450 0.937327
0.935739 0.352693
-0.042690 0.999088
0.998191 0.060127
-0.290263 -0.956947
0.410156 0.912015
-0.864802 0.502113
-0.536468 0.843921
-0.791476 0.611200
-0.799020 0.601305
-0.269808 0.962914
0.756149 -0.654400
0.299216 0.954186
-0.995351 0.096312
-0.933359 -0.358944
-0.847442 -0.530889
-0.510579 -0.859831
0.285755 0.958303
-0.851480 -0.524387
-0.928220 0.372031
0.200663 0.979660
-0.023328 -0.999728
