1.800000    0.336367    0.076201    0.856341    1.038968
1.620000    0.134602    0.045587    0.845434    0.409914
1.458000   -0.232474    0.027594   -0.757440    0.480910
1.312200   -0.260195    0.014817    0.415242    0.882110
1.180980    0.311289    0.088085    0.332400    1.331548
1.062882    0.389512    0.034734    0.078679    0.572607
0.956594   -0.432613    0.009241    0.830260    0.651392
0.860934    0.469575    0.030613    1.276294    0.542523
0.774841   -0.297621    0.017709    0.505511    0.954067
0.697357   -0.275947    0.016834   -0.355349    0.930399
0.627621   -0.367488    0.021835   -0.896037    0.691657
0.564859   -0.439892    0.006987   -0.749479    0.592328
0.508373    0.088358    0.067760   -0.512045    1.127969
0.457536   -0.129349    0.041604    0.104605    1.201774
0.411782   -0.256539    0.022206   -0.124825    1.040869
0.370604   -0.406259    0.006850    0.672807    0.632806
0.333544   -0.336876    0.017631   -0.937002    0.659382
0.300189   -0.241478    0.022904   -0.294541    1.000983
0.270170   -0.134140    0.045353    0.529762    1.075670
0.243153   -0.024631    0.058635    0.205795    1.246564
0.218838   -0.253023    0.036379   -0.310206    1.089790
0.196954   -0.306956    0.016884    0.590493    0.849368
0.177259   -0.410944    0.007475   -0.706827    0.616749
0.159533   -0.198224    0.043742   -0.526791    0.943939
0.143580   -0.044132    0.046270    0.816606    0.933200
0.129222   -0.209924    0.035917   -0.078312    1.007698
0.116299   -0.177857    0.037141   -0.990570    0.716684
0.104670   -0.292259    0.014188   -0.570109    0.780383
0.094203   -0.382622    0.015129    0.784345    0.725586
0.084782   -0.447543    0.006717    0.808762    0.602085
0.076304   -0.193812    0.034688   -0.281265    1.064155
0.068674   -0.428582    0.009560   -0.842577    0.615941
0.061806   -0.428605    0.009698   -0.757436    0.668280
0.055626   -0.374920    0.009106   -0.652238    0.591372
0.050063   -0.181205    0.013733   -0.082791    0.867043
0.045057   -0.434722    0.011627    0.827198    0.651008
0.040551   -0.304785    0.018212    0.581564    0.817570
0.036496   -0.357629    0.008878    0.660367    0.591272
0.032846   -0.420817    0.011560    0.842569    0.638046
0.029562   -0.372855    0.020042    0.864942    0.713949
0.026606   -0.439420    0.006664    0.789840    0.639898
0.023945   -0.446267    0.007913    0.788297    0.625939
0.021551   -0.430092    0.010308    0.854364    0.664560
0.019395   -0.447647    0.008382    0.802738    0.620806
0.017456   -0.409620    0.012309    0.799261    0.724225
0.015710   -0.415898    0.008586    0.689901    0.599483
0.014139   -0.447653    0.006172    0.788400    0.633678
0.012725   -0.424108    0.008131    0.841788    0.569540
0.011453   -0.429468    0.008588    0.844117    0.586928
0.010308   -0.451368    0.007708    0.845167    0.660714
